member,exp_name,exp_num,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,num_parameters,final_train_loss,final_val_loss,duration,val_train_gap
member4,exp_011_bs128_nl6_nh4_ne256_bsz8_mi50_dr0.1,11,128,6,4,256,8,50,0.1,4.74,2.581,2.597,61.95,0.016000000000000014
member4,exp_012_bs128_nl6_nh4_ne256_bsz8_mi50_dr0.2,12,128,6,4,256,8,50,0.2,4.74,2.6031,2.618,62.17,0.014899999999999913
member4,exp_013_bs128_nl6_nh4_ne256_bsz16_mi25_dr0.1,13,128,6,4,256,16,25,0.1,4.74,2.6856,2.6893,61.33,0.0036999999999998145
member4,exp_014_bs128_nl6_nh4_ne256_bsz16_mi25_dr0.2,14,128,6,4,256,16,25,0.2,4.74,2.6928,2.6948,61.98,0.0019999999999997797
member4,exp_015_bs128_nl6_nh4_ne256_bsz16_mi50_dr0.1,15,128,6,4,256,16,50,0.1,4.74,2.5436,2.5634,117.6,0.01980000000000004
member4,exp_016_bs128_nl6_nh4_ne256_bsz16_mi50_dr0.2,16,128,6,4,256,16,50,0.2,4.74,2.5539,2.5721,119.91,0.018199999999999772
member4,exp_017_bs128_nl6_nh8_ne128_bsz8_mi25_dr0.1,17,128,6,8,128,8,25,0.1,1.19,2.9799,3.0002,15.31,0.020299999999999763
member4,exp_018_bs128_nl6_nh8_ne128_bsz8_mi25_dr0.2,18,128,6,8,128,8,25,0.2,1.19,3.0058,3.0256,15.87,0.01980000000000004
member4,exp_019_bs128_nl6_nh8_ne128_bsz8_mi50_dr0.1,19,128,6,8,128,8,50,0.1,1.19,2.7196,2.7319,27.17,0.0123000000000002
member4,exp_020_bs128_nl6_nh8_ne128_bsz8_mi50_dr0.2,20,128,6,8,128,8,50,0.2,1.19,2.7337,2.7456,27.99,0.011900000000000244
member4,exp_021_bs128_nl6_nh8_ne128_bsz16_mi25_dr0.1,21,128,6,8,128,16,25,0.1,1.19,2.9611,2.9744,26.78,0.01330000000000009
member4,exp_022_bs128_nl6_nh8_ne128_bsz16_mi25_dr0.2,22,128,6,8,128,16,25,0.2,1.19,2.9842,2.9956,27.33,0.011400000000000077
member4,exp_023_bs128_nl6_nh8_ne128_bsz16_mi50_dr0.1,23,128,6,8,128,16,50,0.1,1.19,2.6961,2.7169,50.15,0.02079999999999993
member4,exp_024_bs128_nl6_nh8_ne128_bsz16_mi50_dr0.2,24,128,6,8,128,16,50,0.2,1.19,2.7124,2.7322,51.07,0.01980000000000004
member4,exp_025_bs128_nl6_nh8_ne256_bsz8_mi25_dr0.1,25,128,6,8,256,8,25,0.1,4.74,2.766,2.7975,34.23,0.03149999999999986
member4,exp_026_bs128_nl6_nh8_ne256_bsz8_mi25_dr0.2,26,128,6,8,256,8,25,0.2,4.74,2.7683,2.7951,35.05,0.026800000000000157
member4,exp_027_bs128_nl6_nh8_ne256_bsz8_mi50_dr0.1,27,128,6,8,256,8,50,0.1,4.74,2.6137,2.5931,64.64,-0.02059999999999995
member4,exp_028_bs128_nl6_nh8_ne256_bsz8_mi50_dr0.2,28,128,6,8,256,8,50,0.2,4.74,2.6201,2.5997,65.91,-0.020399999999999974
member4,exp_029_bs128_nl6_nh8_ne256_bsz16_mi25_dr0.1,29,128,6,8,256,16,25,0.1,4.74,2.7012,2.7115,65.61,0.010299999999999976
member4,exp_030_bs128_nl6_nh8_ne256_bsz16_mi25_dr0.2,30,128,6,8,256,16,25,0.2,4.74,2.7074,2.7125,65.45,0.0051000000000001044
member4,exp_031_bs128_nl6_nh8_ne256_bsz16_mi50_dr0.1,31,128,6,8,256,16,50,0.1,4.74,2.5628,2.566,125.06,0.0031999999999996476
member4,exp_032_bs128_nl6_nh8_ne256_bsz16_mi50_dr0.2,32,128,6,8,256,16,50,0.2,4.74,2.574,2.5757,131.23,0.0017000000000000348
